ticker,Date,TVol,TXN,TV,OP,HP,LP,CP,Dir,CHG,LBBP,LBBV,LBSP,LBSV,PER
076824,20210129,0.0,0.0,0,--,--,--,--, ,0.0,--,0.0,--,0.0,41.35
076825,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.45,499.0,0.46,100.0,19.95
076826,20210129,42000.0,2.0,"86,240",2.07,2.07,1.97,1.97,-,0.09,1.65,499.0,1.66,100.0,52.10
076827,20210129,10000.0,1.0,"14,600",1.46,1.46,1.46,1.46,+,0.06,1.25,499.0,1.26,20.0,17.60
076828,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.4,100.0,--,0.0,42.80
076829,20210129,170000.0,3.0,"234,600",1.38,1.38,1.38,1.38,-,0.01,1.38,499.0,1.39,20.0,22.70
076830,20210129,279000.0,9.0,"276,480",0.95,1.05,0.95,1.0,+,0.07,0.94,499.0,0.96,100.0,208.00
076831,20210129,5000.0,1.0,"7,800",1.56,1.56,1.56,1.56,-,0.13,1.5,499.0,1.51,10.0,33.65
076832,20210129,4000.0,1.0,"10,120",2.53,2.53,2.53,2.53,X,0.0,2.59,100.0,4.1,1.0,0.00
076833,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.31,100.0,0.32,30.0,0.00
076834,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.61,10.0,0.62,10.0,40.15
076835,20210129,95000.0,10.0,"318,200",3.64,3.64,2.83,2.83,-,0.44,2.82,20.0,2.83,80.0,591.00
076836,20210129,35000.0,4.0,"43,110",1.35,1.37,1.21,1.21,-,0.38,1.21,10.0,1.22,10.0,105.00
076837,20210129,155000.0,5.0,"99,210",0.65,0.65,0.64,0.64,-,0.01,0.63,10.0,0.64,10.0,28.90
076838,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.36,35.0,0.37,10.0,24.91
076839,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.23,25.0,0.24,10.0,22.64
076840,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.66,25.0,1.67,10.0,5.08
076841,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.69,25.0,0.7,10.0,25.10
076842,20210129,10000.0,1.0,"54,000",5.4,5.4,5.4,5.4,X,0.0,5.1,25.0,--,0.0,31.20
076843,20210129,22000.0,5.0,"2,600",0.11,0.13,0.11,0.12,-,0.04,0.11,50.0,0.12,10.0,"2,940.00"
076844,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.43,25.0,0.44,10.0,482.00
076845,20210129,0.0,0.0,0,--,--,--,--, ,0.0,4.8,25.0,4.9,10.0,669.00
076846,20210129,50000.0,6.0,"12,250",0.24,0.25,0.23,0.25,+,0.05,0.21,100.0,0.25,170.0,6.72
